iter	Passed	Remaining
482	673	720
483	674	719
484	675	717
485	677	716
486	678	715
487	680	713
488	681	712
489	682	710
490	684	709
491	685	707
492	686	706
493	688	704
494	689	703
495	690	701
496	692	700
497	693	698
498	694	697
499	696	696
500	698	695
501	699	693
502	701	692
503	702	691
504	703	689
505	704	688
506	706	686
507	707	685
508	708	683
509	710	682
510	711	680
511	712	679
512	713	677
513	715	676
514	716	674
515	717	673
516	718	671
517	720	670
518	721	668
519	722	666
520	723	665
521	725	664
522	726	662
523	727	661
524	729	659
525	730	658
526	731	656
527	733	655
528	734	654
529	735	652
530	737	651
531	738	649
532	739	648
533	741	646
534	745	648
535	747	646
536	748	645
537	749	644
538	751	642
539	752	641
540	753	639
541	755	638
542	756	636
543	758	635
544	759	634
545	760	632
546	762	631
547	763	629
548	764	628
549	765	626
550	767	625
551	768	623
552	770	622
553	771	621
554	772	619
555	774	618
556	775	616
557	776	615
558	778	613
559	779	612
560	781	611
561	783	610
562	784	608
563	785	607
564	787	606
565	789	605
566	790	603
567	791	602
568	793	601
569	794	599
570	795	598
571	797	596
572	798	595
573	799	593
574	801	592
575	802	590
576	804	589
577	805	588
578	807	586
579	808	585
580	809	583
581	810	582
582	812	580
583	813	579
584	815	578
585	816	576
586	817	575
587	819	573
588	820	572
589	821	571
590	823	569
591	824	568
592	825	566
593	826	565
594	828	563
595	829	562
596	831	561
597	833	560
598	834	558
599	835	557
600	837	555
601	838	554
602	839	552
603	840	551
604	842	550
605	843	548
606	844	547
607	846	545
608	847	544
609	849	542
610	850	541
611	851	539
612	852	538
613	854	536
614	855	535
615	856	534
616	858	532
617	859	531
618	860	529
619	862	528
620	863	526
621	864	525
622	866	524
623	867	522
624	868	520
625	869	519
626	870	518
627	872	516
628	873	515
629	875	513
630	876	512
631	877	511
632	878	509
633	880	508
634	882	507
635	883	505
636	884	504
637	886	502
638	887	501
639	888	499
640	890	498
641	891	497
642	893	495
643	894	494
644	895	493
645	897	491
646	898	490
647	899	488
648	901	487
649	902	486
650	904	484
651	905	483
652	906	481
653	908	480
654	909	479
655	910	477
656	912	476
657	913	474
658	914	473
659	916	471
660	917	470
661	918	469
662	920	467
663	921	466
664	922	464
665	924	463
666	925	461
667	926	460
668	928	459
669	929	457
670	930	456
671	932	454
672	933	453
673	934	452
674	936	450
675	937	449
676	938	447
677	940	446
678	941	445
679	942	443
680	943	442
681	945	440
682	946	439
683	948	438
684	949	436
685	951	435
686	952	433
687	953	432
688	954	430
689	956	429
690	957	428
691	958	426
692	960	425
693	961	423
694	963	422
695	964	421
696	966	420
697	967	418
698	969	417
699	970	415
700	971	414
701	973	413
702	974	411
703	976	410
704	977	409
705	979	407
706	980	406
707	981	404
708	983	403
709	984	402
710	985	400
711	987	399
712	988	397
713	989	396
714	990	394
715	992	393
716	993	392
717	994	390
718	996	389
719	997	387
720	998	386
721	1000	385
722	1001	383
723	1002	382
724	1003	380
725	1005	379
726	1006	377
727	1007	376
728	1009	375
729	1010	373
730	1011	372
731	1012	370
732	1014	369
733	1016	368
734	1017	366
735	1018	365
736	1020	364
737	1021	362
738	1022	361
739	1024	359
740	1025	358
741	1026	357
742	1027	355
743	1029	354
744	1030	352
745	1031	351
746	1033	349
747	1034	348
748	1035	347
749	1037	345
750	1038	344
751	1039	342
752	1041	341
753	1042	340
754	1044	338
755	1045	337
756	1047	336
757	1049	335
