iter	Logloss
0	0.6872224535
1	0.68232678
2	0.6778646742
3	0.6718410492
4	0.6671272278
5	0.6614052909
6	0.6573108673
7	0.6519016811
8	0.6469693865
9	0.6419425419
10	0.6368407113
11	0.6314520155
12	0.6261683328
13	0.6204758235
14	0.6159385681
15	0.6111436571
16	0.6062775203
17	0.6025199345
18	0.5982249669
19	0.5934531621
20	0.5898699079
21	0.5864326477
22	0.5819526672
23	0.5777082716
24	0.5726771763
25	0.5686915806
26	0.5647882734
27	0.5601395198
28	0.555581665
29	0.5510663714
30	0.5484114511
31	0.5463249207
32	0.5424084255
33	0.5387879508
34	0.5352610452
35	0.531728363
36	0.5287511008
37	0.5253439767
38	0.521434239
39	0.5179219927
40	0.5137585776
41	0.510597011
42	0.506937245
43	0.5034603664
44	0.5011831556
45	0.4985725948
46	0.496383558
47	0.4938376835
48	0.4914336068
49	0.48882964
50	0.4855775561
51	0.4824387687
52	0.4795436314
53	0.4762426104
54	0.4728752681
55	0.470980944
56	0.468346405
57	0.4649617876
58	0.4616320474
59	0.4586457389
60	0.4560728346
61	0.4530649458
62	0.450491987
63	0.4486271177
64	0.4461432048
65	0.4432101931
66	0.4422380175
67	0.4400230953
68	0.4373323168
69	0.4347017561
70	0.4320872716
71	0.4293936593
72	0.4271165303
73	0.4246775491
74	0.4221653257
75	0.4201123374
76	0.4181154796
77	0.415492085
78	0.4128518241
79	0.4107242039
80	0.4080239432
81	0.4058048248
82	0.404107993
83	0.4022836958
84	0.400447791
85	0.3982212612
86	0.3964761734
87	0.3944291251
88	0.3928737095
89	0.39073846
90	0.3887506213
91	0.3863893236
92	0.3840129307
93	0.3820952824
94	0.3800055913
95	0.3775388445
96	0.3756749834
97	0.3741176878
98	0.3726554871
99	0.370558003
100	0.3690683092
101	0.3671220779
102	0.3653613227
103	0.3633687973
104	0.3615073068
105	0.3598576682
106	0.3588052477
107	0.3571081434
108	0.3559065683
109	0.3551719393
110	0.3533613477
111	0.3514352798
112	0.3496196202
113	0.3482695171
114	0.3474382673
115	0.3462688991
116	0.3446132115
117	0.3431698118
118	0.341849981
119	0.340618733
120	0.3392157691
121	0.3374336515
122	0.3356259482
123	0.3341611045
124	0.3323878697
125	0.3311382839
126	0.3295874459
127	0.3282027381
128	0.3266938346
129	0.325390625
130	0.3249162401
131	0.3237171173
132	0.3224583762
133	0.32131067
134	0.31992242
135	0.3187001365
136	0.3174949646
137	0.3163012913
138	0.3152217048
139	0.3138186591
140	0.3125861577
141	0.3114253453
142	0.3101668767
143	0.3087913513
144	0.3076701845
145	0.3065032414
146	0.3053006036
147	0.3047290257
148	0.3035613469
149	0.3023332596
150	0.3011044366
151	0.3005808694
152	0.2992627008
153	0.2979890278
154	0.2967884336
155	0.2958519527
156	0.2946659633
157	0.2937037332
158	0.2924381256
159	0.2918241773
160	0.2910578047
161	0.2901588985
162	0.2890448979
163	0.2881455013
164	0.2869669233
165	0.2856575012
166	0.2842727116
167	0.2831804003
168	0.2819973537
169	0.2808830806
170	0.2795042855
171	0.2784611838
172	0.277450398
173	0.2766355242
174	0.2759489059
175	0.2747045789
176	0.27359175
177	0.2729572296
178	0.2721752712
179	0.271273504
180	0.2699907575
181	0.2690678733
